2023 Ranking;Country;Total;;
1;United States of America;84.80;;
2;Singapore;81.97;;
3;United Kingdom of Great Britain and Northern Ireland;78.57;;
4;Finland;77.37;;
5;Canada;77.07;;
6;France;76.07;;
7;Republic of Korea;75.65;;
8;Germany;75.26;;
9;Japan;75.08;;
10;Netherlands;74.47;;
11;Denmark;73.91;;
12;Australia;73.89;;
13;Norway;72.71;;
14;Sweden;72.55;;
15;Austria;72.37;;
16;China;70.94;;
17;Estonia;70.86;;
18;United Arab Emirates;70.42;;
19;Taiwan;70.25;;
20;Ireland;69.82;;
21;Iceland;69.59;;
22;Luxembourg;69.41;;
23;Malaysia;68.71;;
24;Switzerland;68.57;;
25;Portugal;68.28;;
26;Italy;67.63;;
27;Spain;67.47;;
28;Belgium;67.28;;
29;Saudi Arabia;67.04;;
30;Israel;65.46;;
31;Czechia;65.17;;
32;Brazil;63.70;;
33;Malta;63.64;;
34;Qatar;63.59;;
35;Lithuania;63.33;;
36;Poland;63.10;;
37;Thailand;63.03;;
38;Russian Federation;62.92;;
39;Slovenia;62.63;;
40;India;62.58;;
41;Chile;61.95;;
42;Indonesia;61.03;;
43;Cyprus;60.84;;
44;Slovakia;60.73;;
45;Hungary;60.66;;
46;Uruguay;60.57;;
47;Turkey;60.51;;
48;Latvia;60.30;;
49;New Zealand;60.18;;
50;Oman;58.94;;
51;Bulgaria;58.64;;
52;Greece;57.95;;
53;Colombia;57.85;;
54;Argentina;57.72;;
55;Jordan;56.85;;
56;Bahrain;56.13;;
57;Serbia;55.57;;
58;Peru;54.87;;
59;Viet Nam;54.48;;
60;Ukraine;53.29;;
61;Mauritius;53.27;;
62;Egypt;52.69;;
63;Liechtenstein;52.63;;
64;Romania;52.32;;
65;Philippines;51.98;;
66;Dominican Republic;50.71;;
67;Monaco;50.50;;
68;Mexico;50.37;;
69;Kuwait;49.86;;
70;Croatia;49.34;;
71;Costa Rica;49.12;;
72;Kazakhstan;48.56;;
73;Azerbaijan;48.15;;
74;Brunei Darussalam;48.10;;
75;San Marino;48.08;;
76;Lebanon;47.62;;
77;South Africa;47.28;;
78;Montenegro;47.15;;
79;Nauru;46.75;;
80;Andorra;46.25;;
81;Tunisia;46.07;;
82;Bangladesh;46.04;;
83;North Macedonia;45.40;;
84;Rwanda;45.39;;
85;Armenia;45.22;;
86;Panama;43.91;;
87;Uzbekistan;43.79;;
88;Morocco;43.34;;
89;Albania;43.26;;
90;Republic of Moldova;42.97;;
91;Senegal;42.58;;
92;Pakistan;42.20;;
93;Bahamas;42.14;;
94;Iran (Islamic Republic of);42.07;;
95;Sri Lanka;41.89;;
96;Fiji;41.57;;
97;Benin;41.37;;
98;Jamaica;41.32;;
99;Georgia;41.27;;
100;Ecuador;40.84;;
101;Kenya;40.19;;
102;Barbados;40.13;;
103;Nigeria;39.88;;
104;Trinidad and Tobago;39.44;;
105;Antigua and Barbuda;39.41;;
106;Saint Kitts and Nevis;39.23;;
107;Belarus;39.20;;
108;Tonga;39.01;;
109;Mongolia;38.99;;
110;Botswana;38.84;;
111;Tajikistan;38.78;;
112;Seychelles;38.11;;
113;Tuvalu;37.45;;
114;Bhutan;36.88;;
115;Paraguay;36.85;;
116;Guyana;36.79;;
117;Bosnia and Herzegovina;36.49;;
118;Saint Lucia;36.46;;
119;Cabo Verde;36.30;;
120;Algeria;35.99;;
121;Guatemala;35.76;;
122;Marshall Islands;35.70;;
123;Cuba;35.52;;
124;Suriname;35.52;;
125;Namibia;35.37;;
126;Bolivia (Plurinational State of);35.25;;
127;Dominica;34.82;;
128;Grenada;34.63;;
129;Belize;34.24;;
130;Saint Vincent and the Grenadines;34.13;;
131;Kyrgyzstan;34.10;;
132;Uganda;33.44;;
133;Iraq;33.40;;
134;State of Palestine;33.14;;
135;Gabon;33.09;;
136;Lao People's Democratic Republic;33.05;;
137;United Republic of Tanzania;32.86;;
138;Côte D'Ivoire;32.78;;
139;Honduras;32.63;;
140;Ethiopia;32.59;;
141;Ghana;32.58;;
142;El Salvador;32.58;;
143;Zambia;32.36;;
144;Vanuatu;31.91;;
145;Cambodia;31.88;;
146;Maldives;31.71;;
147;Samoa;31.66;;
148;Turkmenistan;31.17;;
149;Myanmar;30.91;;
150;Nepal;30.77;;
151;Zimbabwe;30.71;;
152;Papua New Guinea;30.41;;
153;Cameroon;30.27;;
154;Gambia;30.25;;
155;Djibouti;29.95;;
156;Nicaragua;29.77;;
157;Timor-Leste;29.77;;
158;Togo;29.69;;
159;Venezuela;29.20;;
160;Angola;29.14;;
161;Solomon Islands;29.09;;
162;Madagascar;28.47;;
163;Equatorial Guinea;28.04;;
164;Burkina Faso;27.50;;
165;Mali;27.45;;
166;Guinea;27.44;;
167;Kiribati;27.40;;
168;Mauritania;27.09;;
169;Eswatini;27.05;;
170;Sao Tome and Principe;26.86;;
171;Lesotho;26.21;;
172;Mozambique;25.62;;
173;Libya;25.31;;
174;Malawi;24.87;;
175;Sierra Leone;24.83;;
176;Niger;24.71;;
177;Sudan;24.51;;
178;Congo;24.19;;
179;Guinea Bissau;24.11;;
180;Chad;23.44;;
181;Comoros;22.62;;
182;Liberia;22.24;;
183;Somalia;21.98;;
184;Haiti;21.97;;
185;Democratic Republic of the Congo;21.47;;
186;Afghanistan;21.27;;
187;Burundi;20.87;;
188;Yemen;19.89;;
189;Central African Republic;19.74;;
190;Eritrea;19.62;;
191;South Sudan;18.26;;
192;Syrian Arab Republic;18.12;;
193;Democratic People's Republic of Korea;9.20;;
